Dahili Hafıza,Ekran Boyutu,RAM Kapasitesi,İşletim Sistemi,price
128,7.0,8,0,302
128,7.0,8,0,52
128,7.0,8,0,283
128,7.0,4,0,14
128,7.0,8,0,197
128,7.0,8,0,133
128,7.0,8,0,14
128,7.0,4,1,241
64,7.0,4,0,52
128,7.0,8,0,167
128,7.0,4,0,14
128,7.0,8,0,292
256,7.0,8,0,202
256,7.0,6,1,289
256,7.0,8,0,112
128,7.0,8,0,133
128,7.0,6,0,91
128,7.0,4,0,83
256,7.0,8,0,197
256,7.0,8,0,190
256,7.0,6,1,295
256,7.0,8,0,165
128,7.0,8,0,113
256,7.0,8,0,189
128,7.0,8,0,133
128,7.0,6,1,285
128,7.0,4,0,84
128,7.0,8,0,238
128,7.0,4,0,59
128,7.0,8,0,296
128,7.0,8,0,156
128,7.0,4,0,104
128,7.0,6,1,273
128,7.0,4,0,43
128,7.0,4,0,302
128,7.0,4,1,241
256,7.0,6,0,150
128,7.0,4,0,238
128,7.0,4,0,260
256,7.0,6,1,289
128,7.0,8,0,248
256,7.0,6,1,295
256,7.0,8,0,166
128,7.0,6,1,292
256,7.0,8,0,116
128,7.0,6,1,283
128,7.0,8,0,76
128,7.0,8,0,302
128,7.0,4,0,101
128,7.0,8,0,292
256,7.0,8,0,169
512,7.0,6,1,296
128,7.0,4,0,115
128,7.0,8,0,295
64,7.0,4,0,52
256,7.0,6,1,295
128,7.0,6,0,302
512,7.0,6,1,302
128,7.0,4,0,75
512,7.0,6,1,302
32,7.0,2,0,2
512,7.0,6,1,296
64,7.0,4,0,58
512,7.0,6,1,296
128,7.0,8,0,261
512,7.0,6,1,302
128,7.0,6,1,285
512,7.0,6,1,302
256,7.0,8,0,302
128,7.0,4,1,255
128,7.0,6,0,97
128,7.0,8,0,102
128,7.0,8,0,117
512,7.0,6,1,296
128,7.0,8,1,304
512,7.0,6,1,302
256,7.0,8,1,310
512,7.0,6,1,302
256,7.0,8,0,174
512,7.0,12,0,199
256,7.0,8,0,165
64,7.0,4,0,11
128,7.0,6,1,301
